Department,JobRole,JobLevel,Gender,EducationField,EnvironmentSatisfaction,MaritalStatus,WorkLifeBalance,OverTime,AvgMonthlyIncome,AvgAge,TotalEmployees,Attritions,AttritionRate
"Research & Development","Laboratory Technician",1,Male,Medical,3,Single,3,No,2306.33,29.0,3,1,33.33
"Research & Development","Healthcare Representative",2,Male,Other,4,Married,4,Yes,6465.00,44.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,Medical,4,Single,3,No,2705.75,28.8,4,0,0.00
Sales,"Sales Representative",2,Male,"Technical Degree",4,Married,4,No,2086.00,39.0,1,1,100.00
"Research & Development","Research Scientist",1,Male,Medical,2,Married,2,Yes,2248.67,34.0,3,1,33.33
"Research & Development","Research Scientist",1,Female,Medical,4,Divorced,2,No,2645.00,43.0,1,0,0.00
Sales,"Sales Representative",1,Male,Marketing,1,Married,3,Yes,2683.00,50.0,1,1,100.00
Sales,"Sales Representative",1,Female,Marketing,4,Married,3,No,2014.00,35.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",2,Married,4,Yes,3419.00,36.0,1,0,0.00
Sales,"Sales Executive",2,Female,"Life Sciences",3,Married,3,No,5938.00,33.5,2,0,0.00
"Research & Development","Laboratory Technician",1,Male,Other,3,Divorced,3,No,1951.00,35.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Female,"Life Sciences",4,Divorced,3,No,2341.00,27.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",1,Single,2,No,2663.00,23.0,2,1,50.00
Sales,"Sales Executive",3,Male,"Life Sciences",4,Single,3,No,8726.00,27.0,1,0,0.00
"Research & Development","Laboratory Technician",2,Female,Medical,3,Single,3,No,4011.00,30.0,1,0,0.00
"Research & Development","Research Director",5,Female,"Technical Degree",2,Married,3,No,19545.00,41.0,1,1,100.00
Sales,"Sales Executive",2,Male,Marketing,2,Single,3,No,4568.00,34.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",2,Married,3,No,3022.00,37.0,1,0,0.00
Sales,"Sales Executive",2,Male,Marketing,1,Single,3,Yes,5772.00,46.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",4,Married,3,No,2721.00,36.6,5,0,0.00
"Research & Development","Laboratory Technician",3,Male,"Life Sciences",1,Single,3,Yes,5381.00,48.0,1,1,100.00
"Research & Development","Laboratory Technician",1,Male,"Technical Degree",3,Single,2,Yes,3441.00,28.0,1,1,100.00
Sales,"Sales Executive",2,Female,Marketing,2,Divorced,2,Yes,5454.00,44.0,1,0,0.00
"Research & Development","Healthcare Representative",3,Male,Medical,3,Married,3,Yes,9884.00,35.0,1,0,0.00
Sales,"Sales Executive",2,Female,Marketing,3,Married,2,Yes,4157.00,26.0,1,0,0.00
"Research & Development","Research Director",3,Female,"Life Sciences",1,Single,3,Yes,13458.00,33.0,1,0,0.00
Sales,"Sales Executive",3,Male,"Life Sciences",2,Married,2,No,9069.00,35.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Female,Medical,3,Married,3,Yes,3206.00,28.5,2,1,50.00
"Research & Development","Laboratory Technician",2,Male,"Life Sciences",4,Divorced,2,No,5915.00,31.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,"Life Sciences",1,Divorced,4,No,5993.00,37.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,Medical,1,Married,3,Yes,6162.00,32.0,1,0,0.00
"Research & Development","Laboratory Technician",2,Female,"Life Sciences",4,Single,3,No,2406.00,38.0,1,0,0.00
"Research & Development","Research Director",5,Female,Medical,2,Divorced,2,Yes,18894.50,47.0,2,0,0.00
Sales,"Sales Executive",3,Female,"Life Sciences",1,Single,2,No,7637.00,59.0,1,0,0.00
"Research & Development","Healthcare Representative",3,Female,"Technical Degree",3,Divorced,3,No,10096.00,36.0,1,0,0.00
"Research & Development",Manager,4,Female,Medical,4,Divorced,3,Yes,14756.00,55.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,"Life Sciences",2,Single,3,No,6499.00,36.0,1,0,0.00
"Research & Development","Research Scientist",3,Male,"Life Sciences",2,Divorced,3,No,9724.00,45.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,2,Married,2,No,2167.50,32.5,2,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,4,Married,2,Yes,3388.00,36.0,1,1,100.00
Sales,"Sales Executive",2,Female,"Life Sciences",1,Single,2,No,5473.00,59.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",3,Married,3,No,2639.75,37.8,4,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,3,Single,3,No,3174.00,30.3,3,1,33.33
"Research & Development","Research Scientist",2,Male,"Life Sciences",2,Married,3,No,5714.00,33.5,2,0,0.00
"Research & Development","Laboratory Technician",1,Female,"Life Sciences",2,Married,3,No,3038.00,36.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Female,"Life Sciences",3,Single,3,No,5257.50,30.5,2,0,0.00
Sales,"Sales Executive",2,Male,Marketing,3,Single,3,No,4312.00,35.0,1,0,0.00
"Research & Development","Research Director",3,Male,Other,4,Married,4,Yes,13245.00,45.0,1,0,0.00
"Research & Development","Research Director",3,Male,Medical,1,Single,4,No,13664.00,37.0,1,0,0.00
"Human Resources","Human Resources",2,Male,Medical,2,Divorced,3,Yes,5021.00,46.0,1,0,0.00
"Research & Development","Laboratory Technician",2,Male,"Life Sciences",4,Married,2,Yes,5126.00,30.0,1,0,0.00
Sales,"Sales Executive",3,Male,"Life Sciences",1,Married,3,No,10239.00,55.0,1,0,0.00
"Research & Development","Research Scientist",2,Female,Medical,2,Divorced,3,Yes,5329.00,38.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,Medical,1,Married,3,No,4738.00,36.5,2,0,0.00
"Research & Development","Manufacturing Director",3,Male,"Life Sciences",4,Single,2,No,7260.00,56.0,1,0,0.00
Sales,"Sales Representative",1,Male,"Technical Degree",3,Divorced,3,No,2322.00,23.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Male,"Life Sciences",3,Married,3,No,4723.00,30.0,2,0,0.00
Sales,"Sales Executive",3,Male,Medical,3,Single,3,No,9619.00,46.0,1,1,100.00
"Research & Development","Healthcare Representative",4,Male,"Life Sciences",3,Married,2,No,13503.00,40.0,1,0,0.00
Sales,"Sales Executive",2,Male,Marketing,3,Single,1,Yes,5441.00,51.0,1,0,0.00
Sales,"Sales Executive",2,Female,Medical,3,Divorced,2,Yes,5209.00,30.0,1,0,0.00
"Research & Development","Healthcare Representative",3,Male,Medical,3,Married,2,Yes,10673.00,46.0,1,0,0.00
Sales,"Sales Executive",2,Male,Medical,2,Single,3,No,4989.50,29.0,2,1,50.00
"Research & Development","Research Director",3,Female,"Technical Degree",1,Married,1,No,13549.00,54.0,1,0,0.00
Sales,"Sales Executive",2,Female,Other,1,Married,2,No,4999.00,24.0,1,0,0.00
Sales,"Sales Executive",2,Male,Medical,2,Married,4,No,4221.00,28.0,1,0,0.00
Sales,"Sales Executive",4,Male,Medical,4,Single,2,No,13872.00,58.0,1,0,0.00
"Research & Development","Laboratory Technician",2,Male,Medical,2,Married,4,No,3477.33,37.3,3,0,0.00
"Human Resources","Human Resources",1,Male,"Human Resources",3,Divorced,3,Yes,2073.00,37.0,1,1,100.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",4,Single,3,No,3031.75,35.5,4,0,0.00
"Research & Development","Laboratory Technician",1,Female,"Life Sciences",4,Single,3,Yes,2926.00,20.0,1,1,100.00
"Research & Development","Research Scientist",2,Female,Other,1,Single,3,No,4809.00,34.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Male,"Life Sciences",3,Divorced,4,No,5163.00,37.0,1,0,0.00
"Human Resources",Manager,5,Female,"Human Resources",3,Married,3,No,18844.00,59.0,1,0,0.00
"Research & Development","Research Director",5,Female,"Life Sciences",1,Married,2,Yes,18172.00,50.0,1,0,0.00
Sales,"Sales Executive",2,Male,Marketing,3,Single,3,Yes,5744.00,25.0,1,1,100.00
"Research & Development","Research Scientist",1,Male,Medical,4,Married,3,No,3573.50,38.5,2,0,0.00
"Research & Development","Laboratory Technician",1,Female,Medical,2,Single,3,No,2232.25,26.8,4,1,25.00
"Research & Development","Healthcare Representative",3,Female,Medical,1,Single,2,No,7484.00,51.0,1,0,0.00
"Research & Development","Laboratory Technician",2,Male,"Life Sciences",1,Single,3,Yes,6074.00,34.0,1,1,100.00
"Human Resources",Manager,4,Female,"Human Resources",4,Single,3,Yes,17328.00,54.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",2,Married,3,No,2580.50,32.0,2,0,0.00
"Research & Development","Research Scientist",2,Female,"Life Sciences",3,Divorced,3,No,4505.00,34.0,1,0,0.00
Sales,"Sales Executive",3,Male,"Life Sciences",3,Single,3,No,7428.00,37.0,1,0,0.00
"Research & Development",Manager,3,Female,Medical,3,Single,3,No,11631.00,34.0,1,0,0.00
Sales,"Sales Executive",3,Female,"Technical Degree",2,Married,3,No,9738.00,36.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Female,"Life Sciences",1,Divorced,3,No,3599.50,31.0,2,0,0.00
Sales,Manager,4,Male,"Life Sciences",3,Married,4,Yes,16959.00,43.0,1,0,0.00
Sales,"Sales Executive",2,Male,Marketing,3,Married,4,No,5201.00,29.0,2,0,0.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",2,Married,3,Yes,4963.00,56.0,1,1,100.00
"Research & Development","Research Director",5,Male,"Life Sciences",1,Single,3,No,19537.00,51.0,1,0,0.00
Sales,"Sales Executive",2,Male,"Life Sciences",2,Married,2,Yes,6186.50,33.5,2,1,50.00
"Research & Development","Research Scientist",1,Female,Other,3,Married,2,No,2367.50,37.0,2,0,0.00
"Research & Development","Healthcare Representative",3,Female,Medical,4,Married,2,No,10312.00,58.0,1,1,100.00
Sales,"Sales Representative",1,Male,Marketing,4,Single,2,Yes,1675.00,19.0,1,1,100.00
"Research & Development","Laboratory Technician",1,Male,"Technical Degree",3,Married,3,No,2523.00,22.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Female,Medical,3,Married,2,No,6567.00,49.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,Medical,2,Single,3,No,4739.00,43.0,1,0,0.00
Sales,"Sales Executive",3,Female,Marketing,3,Single,3,No,9208.00,50.0,1,0,0.00
Sales,"Sales Executive",2,Female,"Life Sciences",2,Married,3,Yes,4559.00,31.0,1,1,100.00
Sales,"Sales Executive",3,Male,"Life Sciences",3,Divorced,3,Yes,8189.00,41.0,1,0,0.00
"Human Resources","Human Resources",1,Female,"Life Sciences",3,Married,3,No,2942.00,26.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,Medical,2,Divorced,3,No,5351.50,35.5,2,0,0.00
"Research & Development","Manufacturing Director",3,Male,"Life Sciences",1,Single,3,No,10650.00,51.0,1,1,100.00
Sales,"Sales Executive",2,Female,"Life Sciences",4,Married,4,No,5902.00,39.0,1,0,0.00
Sales,"Sales Executive",2,Male,"Life Sciences",1,Married,3,No,7157.00,34.0,2,0,0.00
"Human Resources","Human Resources",2,Male,"Human Resources",3,Married,1,Yes,6347.00,30.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Female,Medical,1,Single,4,No,4200.00,32.0,1,1,100.00
"Research & Development","Research Scientist",1,Male,Medical,3,Single,2,No,3326.00,33.7,3,1,33.33
"Research & Development","Research Scientist",2,Female,"Technical Degree",4,Single,3,Yes,4317.00,38.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",1,Single,2,No,2632.00,30.0,1,0,0.00
Sales,"Sales Executive",2,Male,Medical,4,Divorced,4,No,4668.00,32.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Technical Degree",4,Divorced,3,No,2656.50,29.5,2,0,0.00
"Research & Development","Laboratory Technician",1,Male,Medical,2,Single,3,No,2720.00,30.0,1,0,0.00
"Research & Development",Manager,4,Male,"Life Sciences",4,Divorced,2,No,17181.00,41.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",3,Married,3,No,2402.33,37.3,3,0,0.00
"Research & Development","Research Scientist",2,Female,Medical,2,Divorced,3,No,5605.00,40.0,1,0,0.00
Sales,"Sales Executive",3,Male,Marketing,3,Married,3,No,7295.00,35.0,1,0,0.00
Sales,"Sales Representative",2,Male,Marketing,2,Married,1,Yes,2306.00,53.0,1,0,0.00
"Research & Development","Laboratory Technician",2,Male,"Life Sciences",2,Divorced,1,No,2348.00,45.0,1,0,0.00
Sales,"Sales Executive",3,Female,Marketing,2,Single,3,No,8998.00,32.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,"Technical Degree",4,Married,3,No,4319.00,29.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,Medical,2,Married,3,No,5754.50,45.0,2,0,0.00
"Research & Development","Research Scientist",1,Female,Medical,2,Married,2,Yes,3346.00,58.0,1,0,0.00
Sales,"Sales Executive",3,Male,Marketing,3,Married,2,No,9437.50,37.5,2,0,0.00
Sales,"Sales Representative",1,Female,Marketing,3,Married,3,No,2231.00,34.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,3,Married,3,No,3362.00,23.0,2,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,4,Divorced,1,No,2024.00,27.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,3,Married,1,No,2713.00,28.0,1,0,0.00
"Research & Development","Healthcare Representative",3,Male,"Life Sciences",3,Divorced,1,Yes,9439.00,57.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,3,Divorced,2,Yes,2454.00,35.5,2,1,50.00
"Research & Development",Manager,5,Female,"Life Sciences",3,Single,3,No,19926.00,50.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",1,Divorced,3,No,2446.67,42.0,3,0,0.00
Sales,"Sales Executive",3,Female,"Life Sciences",2,Married,3,No,9419.00,30.0,1,0,0.00
Sales,"Sales Executive",2,Female,"Life Sciences",1,Single,4,No,8686.00,38.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Technical Degree",3,Married,2,Yes,3058.00,27.0,1,0,0.00
Sales,"Sales Representative",1,Female,"Technical Degree",3,Single,4,No,2325.00,19.0,1,1,100.00
"Research & Development","Laboratory Technician",1,Male,Medical,4,Single,2,No,2088.00,36.0,1,0,0.00
"Research & Development","Laboratory Technician",2,Male,Medical,3,Divorced,3,No,3566.33,32.3,3,0,0.00
Sales,"Sales Executive",2,Female,"Life Sciences",3,Divorced,4,Yes,5006.00,45.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",3,Divorced,3,Yes,4257.00,56.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",3,Single,4,No,2500.00,33.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",2,Single,2,No,1102.00,19.0,1,1,100.00
Sales,"Sales Executive",3,Female,Marketing,2,Divorced,3,No,10453.00,46.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Female,"Life Sciences",3,Single,3,No,2580.75,37.3,4,1,25.00
"Research & Development","Research Scientist",1,Female,Medical,3,Married,3,Yes,3147.50,28.5,2,1,50.00
"Research & Development","Research Scientist",1,Female,Medical,4,Single,3,No,2311.00,34.0,1,0,0.00
Sales,"Sales Representative",1,Female,Marketing,2,Single,2,Yes,3140.00,41.0,1,1,100.00
"Research & Development","Laboratory Technician",1,Male,Medical,3,Married,2,No,3150.00,40.5,2,1,50.00
"Research & Development","Manufacturing Director",2,Female,Medical,4,Divorced,3,No,4413.50,38.5,2,0,0.00
"Research & Development","Research Scientist",1,Female,Medical,4,Married,3,No,2756.00,33.0,1,0,0.00
"Research & Development",Manager,5,Female,Medical,4,Married,3,No,19110.00,47.5,2,0,0.00
"Research & Development","Research Director",5,Male,Medical,3,Single,3,No,18722.00,55.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,"Life Sciences",4,Married,2,No,9547.00,34.0,1,0,0.00
"Research & Development","Healthcare Representative",4,Female,Medical,4,Single,3,No,13734.00,51.0,1,0,0.00
"Research & Development",Manager,5,Male,"Life Sciences",3,Married,3,No,19999.00,52.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,Medical,4,Single,2,No,2187.50,26.0,2,0,0.00
"Research & Development","Manufacturing Director",2,Male,"Life Sciences",2,Married,3,Yes,6029.00,31.0,2,1,50.00
"Research & Development","Research Scientist",1,Male,Medical,4,Divorced,4,No,2089.00,43.0,1,0,0.00
"Research & Development",Manager,4,Male,Medical,1,Married,3,No,16792.00,45.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",2,Married,2,Yes,3564.00,37.0,1,0,0.00
"Research & Development","Laboratory Technician",2,Female,Medical,2,Single,3,No,4425.00,35.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Female,Medical,3,Divorced,3,No,5265.00,42.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,"Life Sciences",4,Married,3,No,6464.33,35.7,3,0,0.00
"Research & Development","Manufacturing Director",2,Male,"Technical Degree",4,Married,1,No,6261.00,38.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,"Technical Degree",3,Married,3,No,4298.00,27.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,"Life Sciences",4,Divorced,3,Yes,6804.00,49.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,4,Divorced,4,Yes,3815.00,34.0,1,0,0.00
"Research & Development","Laboratory Technician",2,Male,Medical,3,Married,4,Yes,2741.00,40.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Male,Medical,2,Married,3,Yes,6242.00,38.0,2,1,50.00
Sales,"Sales Executive",3,Female,Marketing,2,Married,2,No,7639.00,29.0,1,1,100.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",4,Divorced,2,Yes,2328.00,22.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Male,"Life Sciences",4,Married,1,No,4876.00,40.0,1,0,0.00
"Research & Development","Healthcare Representative",3,Male,Medical,4,Divorced,3,No,9396.00,46.0,1,0,0.00
Sales,"Sales Executive",3,Male,Medical,4,Married,2,No,10400.00,32.0,1,1,100.00
"Research & Development","Manufacturing Director",3,Male,"Life Sciences",3,Single,3,No,8918.00,32.5,2,0,0.00
Sales,"Sales Executive",2,Female,"Life Sciences",4,Single,3,No,6953.33,35.3,3,0,0.00
"Research & Development","Research Director",3,Male,"Life Sciences",2,Married,1,No,12490.00,51.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Technical Degree",4,Single,3,Yes,2657.00,30.0,1,1,100.00
Sales,Manager,3,Female,"Life Sciences",4,Single,3,Yes,13591.00,41.0,1,0,0.00
Sales,"Sales Executive",2,Female,Marketing,3,Single,2,No,6696.00,30.0,1,1,100.00
"Research & Development","Research Scientist",1,Male,"Technical Degree",3,Single,2,No,2058.00,29.0,1,1,100.00
Sales,"Sales Executive",3,Female,Medical,4,Single,3,No,8865.00,45.0,1,0,0.00
Sales,"Sales Executive",2,Female,Marketing,4,Married,3,No,6010.67,48.0,3,0,0.00
"Research & Development","Laboratory Technician",2,Male,"Life Sciences",4,Single,4,No,5914.00,36.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,Medical,3,Married,3,No,2738.00,33.7,3,0,0.00
"Research & Development","Research Director",3,Male,Other,2,Divorced,3,Yes,12185.00,37.0,1,0,0.00
Sales,"Sales Executive",3,Male,"Life Sciences",1,Divorced,2,No,10609.00,38.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,Medical,3,Married,3,No,4600.00,34.5,2,1,50.00
Sales,"Sales Representative",1,Male,Marketing,1,Divorced,3,No,2793.00,37.0,1,0,0.00
Sales,"Sales Executive",3,Female,Medical,2,Married,3,No,7918.00,29.0,1,0,0.00
Sales,"Sales Executive",3,Female,Marketing,3,Single,4,No,8789.00,35.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,3,Single,2,Yes,2389.00,29.0,1,1,100.00
"Research & Development","Laboratory Technician",1,Female,"Life Sciences",3,Single,2,No,2314.00,36.5,2,1,50.00
"Research & Development",Manager,5,Male,"Technical Degree",3,Married,3,No,19232.00,42.0,1,0,0.00
"Human Resources","Human Resources",1,Male,Medical,2,Married,2,No,2267.00,59.0,1,0,0.00
Sales,Manager,5,Female,Medical,4,Divorced,2,No,19517.00,50.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,Medical,3,Married,1,Yes,2436.00,33.0,1,1,100.00
Sales,Manager,4,Female,Marketing,4,Married,3,Yes,16064.00,43.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Female,"Life Sciences",1,Married,4,No,2707.00,33.0,1,1,100.00
Sales,Manager,5,Male,"Life Sciences",1,Single,4,Yes,19068.00,52.0,1,0,0.00
Sales,"Sales Representative",1,Female,"Life Sciences",3,Married,3,No,3931.00,32.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",4,Single,1,Yes,3730.00,32.0,1,1,100.00
"Research & Development","Laboratory Technician",1,Female,Medical,3,Divorced,3,No,2232.00,39.0,1,0,0.00
"Research & Development","Research Scientist",2,Male,"Life Sciences",3,Divorced,2,No,3072.00,41.0,1,0,0.00
"Research & Development","Research Scientist",2,Male,"Technical Degree",1,Divorced,3,No,3319.00,40.0,1,0,0.00
"Research & Development",Manager,5,Male,Other,3,Married,3,No,19202.00,45.0,1,0,0.00
"Research & Development","Research Director",3,Male,Medical,2,Divorced,3,No,13675.00,31.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,"Life Sciences",3,Married,2,No,2911.00,33.0,1,0,0.00
"Research & Development","Research Scientist",1,Female,Medical,3,Married,2,No,3920.00,37.0,1,0,0.00
"Research & Development","Manufacturing Director",2,Male,"Life Sciences",1,Married,3,No,5877.50,41.5,2,0,0.00
"Research & Development","Manufacturing Director",3,Male,Medical,1,Divorced,3,No,10048.00,37.0,1,1,100.00
"Research & Development","Healthcare Representative",3,Female,"Technical Degree",3,Single,3,No,10938.00,39.0,1,0,0.00
"Research & Development","Research Scientist",2,Female,"Life Sciences",4,Single,3,Yes,5771.50,37.0,2,0,0.00
Sales,"Sales Executive",2,Male,Marketing,4,Divorced,3,No,6445.00,33.0,4,0,0.00
"Research & Development","Manufacturing Director",2,Female,"Life Sciences",1,Married,3,No,4562.50,26.0,2,0,0.00
"Research & Development","Laboratory Technician",1,Female,Medical,4,Divorced,3,Yes,1861.00,36.5,2,0,0.00
"Research & Development","Research Director",5,Male,Medical,1,Divorced,3,No,19436.00,40.0,1,0,0.00
"Research & Development","Research Scientist",1,Male,"Life Sciences",3,Married,2,No,2587.00,40.0,2,0,0.00
"Research & Development","Laboratory Technician",1,Male,Medical,3,Single,4,No,3479.00,31.0,1,1,100.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",2,Married,1,No,2794.00,32.0,1,0,0.00
Sales,"Sales Executive",2,Male,"Life Sciences",4,Married,3,No,5336.00,36.0,4,0,0.00
"Research & Development","Laboratory Technician",2,Male,"Technical Degree",4,Single,3,No,2176.00,32.0,1,0,0.00
Sales,Manager,4,Female,"Technical Degree",3,Married,2,Yes,16872.00,46.0,1,0,0.00
"Research & Development","Laboratory Technician",1,Male,"Life Sciences",1,Single,1,No,3485.00,28.0,1,1,100.00
Sales,"Sales Executive",2,Male,Medical,1,Married,3,No,6644.00,29.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Male,Medical,2,Married,3,No,5582.00,31.0,1,0,0.00
"Research & Development","Healthcare Representative",2,Male,"Life Sciences",2,Divorced,3,No,4000.00,25.0,1,0,0.00
"Research & Development","Healthcare Representative",4,Male,Medical,3,Married,3,Yes,13496.00,45.0,1,0,0.00
"Research & Development",Manager,5,Male,Medical,4,Single,3,Yes,19045.00,55.0,1,0,0.00
"Research & Development",Manager,3,Male,"Life Sciences",1,Married,2,Yes,11849.00,47.0,1,1,100.00
"Research & Development","Research Scientist",1,Male,Medical,4,Married,2,No,2011.67,34.3,3,0,0.00
Sales,"Sales Executive",2,Male,Medical,3,Married,4,No,6355.50,34.5,2,0,0.00
"Research & Development","Research Scientist",1,Male,Medical,4,Single,4,No,3230.00,21.0,1,0,0.00
"Research & Development","Research Director",3,Female,Medical,1,Divorced,3,Yes,13603.00,37.0,1,0,0.00
"Research & Development",Manager,3,Female,"Life Sciences",2,Divorced,2,No,11996.00,35.0,1,0,0.00
